date,location,co,no2,o3,pm10,pm25,so2
2018-03-09,"Bollaram Industrial Area, Hyderabad - TSPCB",51500.0,40.0,38.0,118.0,106.0,10.0
2018-03-10,"Bollaram Industrial Area, Hyderabad - TSPCB",43200.0,44.8,33.8,121.0,108.0,10.0
2018-03-11,"Bollaram Industrial Area, Hyderabad - TSPCB",35200.0,45.2,52.4,135.0,146.0,12.2
2018-03-12,"Bollaram Industrial Area, Hyderabad - TSPCB",23000.0,25.3,44.4,97.1,81.9,8.0
2018-03-13,"Bollaram Industrial Area, Hyderabad - TSPCB",27700.0,34.0,26.3,92.0,66.3,7.0
2018-03-14,"Bollaram Industrial Area, Hyderabad - TSPCB",40800.0,41.5,27.8,108.0,85.3,9.75
2018-03-15,"Bollaram Industrial Area, Hyderabad - TSPCB",27200.0,40.0,51.6,108.0,92.6,11.0
2018-03-16,"Bollaram Industrial Area, Hyderabad - TSPCB",40500.0,37.5,32.5,127.0,108.0,22.0
2018-03-17,"Bollaram Industrial Area, Hyderabad - TSPCB",30000.0,19.7,57.0,102.0,103.0,17.3
2018-03-18,"Bollaram Industrial Area, Hyderabad - TSPCB",25300.0,22.0,31.0,78.8,83.0,7.0
2018-03-19,"Bollaram Industrial Area, Hyderabad - TSPCB",30000.0,22.7,43.0,73.0,69.0,6.0
2018-03-20,"Bollaram Industrial Area, Hyderabad - TSPCB",32500.0,40.8,42.5,107.0,96.0,8.0
2018-03-21,"Bollaram Industrial Area, Hyderabad - TSPCB",50500.0,43.8,39.5,113.0,112.0,12.3
2018-03-22,"Bollaram Industrial Area, Hyderabad - TSPCB",47000.0,40.3,33.2,129.0,123.0,23.8
2018-03-23,"Bollaram Industrial Area, Hyderabad - TSPCB",54600.0,43.4,24.1,127.0,103.0,25.7
2018-03-24,"Bollaram Industrial Area, Hyderabad - TSPCB",54200.0,51.0,30.6,132.0,106.0,28.8
2018-03-25,"Bollaram Industrial Area, Hyderabad - TSPCB",44300.0,48.3,29.0,133.0,120.0,22.0
2018-03-26,"Bollaram Industrial Area, Hyderabad - TSPCB",40300.0,28.3,31.4,124.0,137.0,10.9
2018-03-27,"Bollaram Industrial Area, Hyderabad - TSPCB",44300.0,39.4,32.6,128.0,131.0,12.3
2018-03-28,"Bollaram Industrial Area, Hyderabad - TSPCB",35800.0,42.8,41.6,128.0,116.0,13.6
2018-03-29,"Bollaram Industrial Area, Hyderabad - TSPCB",43600.0,41.2,38.4,126.0,112.0,13.0
2018-03-30,"Bollaram Industrial Area, Hyderabad - TSPCB",37000.0,41.8,28.8,131.0,126.0,13.5
2018-04-06,"Bollaram Industrial Area, Hyderabad - TSPCB",9820.0,,59.5,,,
2018-04-07,"Bollaram Industrial Area, Hyderabad - TSPCB",12400.0,36.0,43.1,89.8,62.4,14.2
2018-04-08,"Bollaram Industrial Area, Hyderabad - TSPCB",30700.0,36.5,36.6,86.6,64.8,12.1
2018-04-09,"Bollaram Industrial Area, Hyderabad - TSPCB",28000.0,29.7,30.1,71.9,58.6,7.55
2018-04-16,"Bollaram Industrial Area, Hyderabad - TSPCB",678.0,26.8,42.1,102.0,41.9,37.1
2018-04-17,"Bollaram Industrial Area, Hyderabad - TSPCB",579.0,29.7,37.5,97.9,38.6,30.2
2018-04-18,"Bollaram Industrial Area, Hyderabad - TSPCB",431.0,23.3,42.1,155.0,55.2,14.4
2018-04-19,"Bollaram Industrial Area, Hyderabad - TSPCB",496.0,32.8,38.7,137.0,47.1,68.0
2018-04-20,"Bollaram Industrial Area, Hyderabad - TSPCB",1290.0,83.6,7.89,172.0,69.7,8.07
