date,co,no2,o3,pm10,pm25,so2
2016-01-30,,,,,187.0,
2016-01-31,,,,,93.1,
2016-02-01,,,,,86.7,
2016-02-02,,,,,69.8,
2016-02-03,,,,,84.5,
2016-02-04,,,,,102.0,
2016-02-05,,,,,65.6,
2016-02-06,,,,,57.5,
2016-02-07,,,,,,
2016-02-08,,,,,69.4,
2016-02-09,,,,,74.9,
2016-02-10,,,,,67.1,
2016-02-11,,,,,74.3,
2016-02-12,,,,,67.0,
2016-02-13,,,,,62.1,
2016-02-14,,,,,53.3,
2016-02-15,,,,,36.6,
2016-02-16,,,,,43.7,
2016-02-17,,,,,50.0,
2016-02-18,,,,,44.3,
2016-02-19,,,,,44.6,
2016-02-20,,,,,69.9,
2016-02-21,,,,,78.7,
2016-02-22,,,,,75.2,
2016-02-23,,,,,65.6,
2016-02-24,,,,,49.5,
2016-02-25,,,,,58.0,
2016-02-26,,,,,48.6,
2016-02-27,,,,,34.7,
2016-02-28,,,,,39.3,
2016-02-29,,,,,39.2,
2016-03-01,,,,,35.6,
2016-03-02,,,,,51.0,
2016-03-03,,,,,50.5,
2016-03-04,,,,,62.0,
2016-03-05,,,,,65.1,
2016-03-06,,,,,45.5,
2016-03-07,,,,,41.6,
2016-03-08,,,,,41.3,
2016-03-09,,,,,51.9,
2016-03-10,,,,,53.9,
2016-03-11,,,,,64.3,
2016-03-12,,,,,59.8,
2016-03-13,,,,,58.6,
2016-03-14,,,,,57.9,
2016-03-15,,,,,46.5,
2016-03-16,,,,,51.5,
2016-03-17,,,,,70.7,
2016-03-18,,,,,63.3,
2016-03-19,,,,,,
2016-03-20,,,,,,
2016-03-21,,,,,61.6,
2016-03-22,840.0,2.79,114.05,108.0,66.15,10.2
2016-03-23,1134.5,2.95,74.35,101.0,80.0,14.4
2016-03-24,815.0,2.75,77.30000000000001,107.0,74.05000000000001,8.23
2016-03-25,1016.5,2.75,73.1,105.0,80.2,11.3
2016-03-26,942.0,2.95,63.45,101.0,62.849999999999994,5.4
2016-03-27,1085.5,2.5,87.1,111.0,72.1,5.52
2016-03-28,1353.5,2.87,72.55000000000001,112.0,64.95,8.23
2016-03-29,574.5,1.67,59.599999999999994,86.2,57.55,5.79
2016-03-30,1179.0,2.68,68.4,95.7,59.4,6.3
2016-03-31,750.5,2.63,54.25,91.9,52.849999999999994,5.44
2016-04-01,868.5,2.69,43.55,103.0,66.8,5.66
2016-04-02,1070.0,,48.8,97.7,57.1,6.24
2016-04-03,875.0,55.5,56.7,100.0,60.0,4.06
2016-04-04,874.0,41.0,75.05,102.0,57.599999999999994,3.7
2016-04-05,779.5,39.6,51.2,113.0,55.2,6.12
2016-04-06,885.0,48.7,46.25,117.0,56.25,5.41
2016-04-07,699.0,48.3,65.4,99.2,36.7,5.36
2016-04-08,793.0,34.9,24.645,83.8,31.200000000000003,3.95
2016-04-09,889.0,33.6,19.345,72.4,31.75,5.13
2016-04-10,707.0,29.7,42.4,69.6,30.1,4.28
2016-04-11,1205.0,59.3,60.5,112.0,52.55,2.95
2016-04-12,1020.5,44.0,49.9,89.1,55.65,8.66
