sensor_id,location_id,location,pollutant,unit
712,407,"Zoo Park, Hyderabad - TSPCB",no2,µg/m³
711,407,"Zoo Park, Hyderabad - TSPCB",o3,µg/m³
710,407,"Zoo Park, Hyderabad - TSPCB",co,µg/m³
715,407,"Zoo Park, Hyderabad - TSPCB",pm10,µg/m³
714,407,"Zoo Park, Hyderabad - TSPCB",pm25,µg/m³
713,407,"Zoo Park, Hyderabad - TSPCB",so2,µg/m³
12235581,407,"Zoo Park, Hyderabad - TSPCB",o3,µg/m³
12235583,407,"Zoo Park, Hyderabad - TSPCB",pm25,µg/m³
12235582,407,"Zoo Park, Hyderabad - TSPCB",pm10,µg/m³
4720,2459,US Diplomatic Post: Hyderabad,pm25,µg/m³
5389,2594,"Sanathnagar, Hyderabad - TSPCB",o3,µg/m³
9128,2594,"Sanathnagar, Hyderabad - TSPCB",so2,µg/m³
9127,2594,"Sanathnagar, Hyderabad - TSPCB",pm25,µg/m³
5387,2594,"Sanathnagar, Hyderabad - TSPCB",co,µg/m³
12235400,5599,"Bollaram Industrial Area, Hyderabad - TSPCB",pm25,µg/m³
12235399,5599,"Bollaram Industrial Area, Hyderabad - TSPCB",pm10,µg/m³
12235398,5599,"Bollaram Industrial Area, Hyderabad - TSPCB",o3,µg/m³
14820,5599,"Bollaram Industrial Area, Hyderabad - TSPCB",co,µg/m³
14842,5599,"Bollaram Industrial Area, Hyderabad - TSPCB",no2,µg/m³
14843,5599,"Bollaram Industrial Area, Hyderabad - TSPCB",o3,µg/m³
14813,5599,"Bollaram Industrial Area, Hyderabad - TSPCB",pm10,µg/m³
15217,5599,"Bollaram Industrial Area, Hyderabad - TSPCB",pm25,µg/m³
15221,5599,"Bollaram Industrial Area, Hyderabad - TSPCB",so2,µg/m³
12242119,5623,"Central University, Hyderabad - TSPCB",o3,µg/m³
12242121,5623,"Central University, Hyderabad - TSPCB",pm25,µg/m³
12242120,5623,"Central University, Hyderabad - TSPCB",pm10,µg/m³
15046,5623,"Central University, Hyderabad - TSPCB",pm10,µg/m³
15167,5623,"Central University, Hyderabad - TSPCB",so2,µg/m³
14918,5623,"Central University, Hyderabad - TSPCB",no2,µg/m³
15178,5623,"Central University, Hyderabad - TSPCB",pm25,µg/m³
